,weight for spatial distance,num of clusters,Cost
0,0.0,1,-56.73924920399589
1,0.1,1,-56.73924920399589
2,0.2,1,-56.73924920399589
3,0.30000000000000004,1,-56.73924920399589
4,0.4,1,-56.73924920399589
5,0.5,1,-56.73924920399589
6,0.6000000000000001,1,-56.73924920399589
7,0.7000000000000001,1,-56.73924920399589
8,0.8,1,-56.73924920399589
9,0.9,1,-56.73924920399589
10,1.0,1,-56.73924920399589
11,0.0,2,-61.98220597769866
12,0.1,2,-61.98220597769866
13,0.2,2,-61.98220597769866
14,0.30000000000000004,2,-61.98220597769866
15,0.4,2,-61.98220597769866
16,0.5,2,-61.98220597769866
17,0.6000000000000001,2,-61.98220597769866
18,0.7000000000000001,2,-61.98220597769866
19,0.8,2,-61.98220597769866
20,0.9,2,-61.98220597769866
21,1.0,2,-61.98220597769866
22,0.0,3,-63.981779362610744
23,0.1,3,-64.0132143588504
24,0.2,3,-63.979007709042996
25,0.30000000000000004,3,-64.05620554482489
26,0.4,3,-63.955593989156476
27,0.5,3,-63.85741558624447
28,0.6000000000000001,3,-63.81498757218348
29,0.7000000000000001,3,-63.86852750431988
30,0.8,3,-64.04431076731385
31,0.9,3,-63.91325945434271
32,1.0,3,-64.0396568413023
33,0.0,4,-65.4788394066422
34,0.1,4,-65.36204957363078
35,0.2,4,-65.47820762064828
36,0.30000000000000004,4,-65.46407576177576
37,0.4,4,-65.51527053842814
38,0.5,4,-65.57892722541811
39,0.6000000000000001,4,-65.53570971287547
40,0.7000000000000001,4,-65.36242680384701
41,0.8,4,-65.52879137994117
42,0.9,4,-65.5545547707382
43,1.0,4,-65.44824904157917
44,0.0,5,-66.40138622346934
45,0.1,5,-66.53229092920104
46,0.2,5,-66.43482392845833
47,0.30000000000000004,5,-66.35306851209738
48,0.4,5,-66.5234246474809
49,0.5,5,-66.4700663539745
50,0.6000000000000001,5,-66.6228222900628
51,0.7000000000000001,5,-66.51145708644853
52,0.8,5,-66.54585530647529
53,0.9,5,-66.52652217890359
54,1.0,5,-66.59984199374405
55,0.0,6,-67.54787225319427
56,0.1,6,-67.50684827136335
57,0.2,6,-67.44578365184752
58,0.30000000000000004,6,-67.57558406613214
59,0.4,6,-67.55407869302564
60,0.5,6,-67.58821547901996
61,0.6000000000000001,6,-67.5627173804188
62,0.7000000000000001,6,-67.4359693368789
63,0.8,6,-67.5081142563192
64,0.9,6,-67.47742148092433
65,1.0,6,-67.50806679443238
66,0.0,7,-68.43263776631643
67,0.1,7,-68.42335122712169
68,0.2,7,-68.3251015489254
69,0.30000000000000004,7,-68.41668663948792
70,0.4,7,-68.32210105702478
71,0.5,7,-68.36706792001554
72,0.6000000000000001,7,-68.40235256051358
73,0.7000000000000001,7,-68.33686524266686
74,0.8,7,-68.45240272738234
75,0.9,7,-68.3432636867149
76,1.0,7,-68.35879901211159
77,0.0,8,-69.15600424431092
78,0.1,8,-69.23562785141633
79,0.2,8,-69.0770281130649
80,0.30000000000000004,8,-69.22436025021432
81,0.4,8,-69.23321428308596
82,0.5,8,-69.22390979782541
83,0.6000000000000001,8,-69.17892785396796
84,0.7000000000000001,8,-69.23930863176733
85,0.8,8,-69.19235984122079
86,0.9,8,-69.22256289195414
87,1.0,8,-69.24217821034934
88,0.0,9,-69.94103201407373
89,0.1,9,-70.02737807731027
90,0.2,9,-69.9535252293201
91,0.30000000000000004,9,-70.01637229689507
92,0.4,9,-70.07842322362444
93,0.5,9,-69.82326563441973
94,0.6000000000000001,9,-69.99412986181083
95,0.7000000000000001,9,-70.04872366615051
96,0.8,9,-69.86821796305527
97,0.9,9,-70.08055964132201
98,1.0,9,-69.99111499300038
99,0.0,10,-70.5673605911243
100,0.1,10,-70.7798784623844
101,0.2,10,-70.80926017012348
102,0.30000000000000004,10,-70.58465375760476
103,0.4,10,-70.47716284320327
104,0.5,10,-70.77572339176379
105,0.6000000000000001,10,-70.6597101461014
106,0.7000000000000001,10,-70.69294970841888
107,0.8,10,-70.6826844277458
108,0.9,10,-70.57522689867574
109,1.0,10,-70.62730740189888
110,0.0,11,-71.36579529905855
111,0.1,11,-71.40621203299752
112,0.2,11,-71.46816085984119
113,0.30000000000000004,11,-71.37670176894012
114,0.4,11,-71.48669462065634
115,0.5,11,-71.5265624448316
116,0.6000000000000001,11,-71.32626180439111
117,0.7000000000000001,11,-71.35202022968588
118,0.8,11,-71.35187148962217
119,0.9,11,-71.29823093819728
120,1.0,11,-71.46909104835403
121,0.0,12,-72.15844589252329
122,0.1,12,-71.98688507779093
123,0.2,12,-71.97864550499855
124,0.30000000000000004,12,-72.08893186170178
125,0.4,12,-72.05570071271657
126,0.5,12,-72.13081355581248
127,0.6000000000000001,12,-71.93705774711758
128,0.7000000000000001,12,-72.01781678497451
129,0.8,12,-72.12305009784563
130,0.9,12,-72.01437374221328
131,1.0,12,-72.09070427876006
132,0.0,13,-72.69788200813773
133,0.1,13,-72.71562262997828
134,0.2,13,-72.67339473819378
135,0.30000000000000004,13,-72.68164301123558
136,0.4,13,-72.73511259179409
137,0.5,13,-72.79218549798595
138,0.6000000000000001,13,-72.65089377794708
139,0.7000000000000001,13,-72.80832951888729
140,0.8,13,-72.54521684307676
141,0.9,13,-72.69493306422028
142,1.0,13,-72.47787450736045
143,0.0,14,-73.23926889961487
144,0.1,14,-73.26787429475469
145,0.2,14,-73.19373366714562
146,0.30000000000000004,14,-73.32760065818225
147,0.4,14,-73.26072038198151
148,0.5,14,-73.26548084455095
149,0.6000000000000001,14,-73.24046427363626
150,0.7000000000000001,14,-73.30823266186246
151,0.8,14,-73.34997807782074
152,0.9,14,-73.37241131088325
153,1.0,14,-73.3436329555003
154,0.0,15,-73.76803174386143
155,0.1,15,-73.86823101981406
156,0.2,15,-73.8516836086866
157,0.30000000000000004,15,-73.92133839118408
158,0.4,15,-73.8823380295842
159,0.5,15,-73.99794519210963
160,0.6000000000000001,15,-73.75238618645379
161,0.7000000000000001,15,-73.90901626892787
162,0.8,15,-73.78412025856206
163,0.9,15,-73.87005928448978
164,1.0,15,-73.86442037519683
165,0.0,16,-74.28330927211209
166,0.1,16,-74.39461935883345
167,0.2,16,-74.38761804081923
168,0.30000000000000004,16,-74.48479551839155
169,0.4,16,-74.40597141492275
170,0.5,16,-74.29494102225209
171,0.6000000000000001,16,-74.52784701650494
172,0.7000000000000001,16,-74.36951921125853
173,0.8,16,-74.43473966361607
174,0.9,16,-74.40618070680516
175,1.0,16,-74.41801332877309
176,0.0,17,-75.06777360288625
177,0.1,17,-74.95243078429395
178,0.2,17,-74.95321255951858
179,0.30000000000000004,17,-74.8294399926554
180,0.4,17,-74.83991707341345
181,0.5,17,-74.96079950060602
182,0.6000000000000001,17,-75.07583273829354
183,0.7000000000000001,17,-75.03317006595127
184,0.8,17,-74.85967163938527
185,0.9,17,-74.84776341298382
186,1.0,17,-74.9708116705836
187,0.0,18,-75.32733792276834
188,0.1,18,-75.60278568814881
189,0.2,18,-75.57972914041162
190,0.30000000000000004,18,-75.4300920898077
191,0.4,18,-75.446877905772
192,0.5,18,-75.54654309062653
193,0.6000000000000001,18,-75.51094936975365
194,0.7000000000000001,18,-75.45668080620923
195,0.8,18,-75.55101722904661
196,0.9,18,-75.48908776547975
197,1.0,18,-75.4447056772358
198,0.0,19,-76.19616849189117
199,0.1,19,-76.22931226612641
200,0.2,19,-76.00568980472327
201,0.30000000000000004,19,-76.00102815374937
202,0.4,19,-76.1829104241194
203,0.5,19,-76.07541330245168
204,0.6000000000000001,19,-75.94313865552336
205,0.7000000000000001,19,-76.02410397260466
206,0.8,19,-76.09122593708754
207,0.9,19,-75.93999072075208
208,1.0,19,-76.00634338860593
